stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-7734375.0,1,1,0.0,0.0
pre-PA,-7695312.5,0,0,0.0,0.0
pre-PA,-7695312.5,1,0,-20.17818123091381,-16.1101847599131
pre-PA,-7695312.5,0,1,-13.019726745262147,115.37452943722081
pre-PA,-7695312.5,1,1,0.0,0.0
pre-PA,-7656250.0,0,0,0.0,0.0
pre-PA,-7656250.0,1,0,-20.176778479689172,-16.21047599869177
pre-PA,-7656250.0,0,1,-13.015748611093812,114.94141720447756
pre-PA,-7656250.0,1,1,0.0,0.0
pre-PA,-7617187.5,0,0,0.0,0.0
pre-PA,-7617187.5,1,0,-20.1753635705007,-16.31069966781223
pre-PA,-7617187.5,0,1,-13.011800767771406,114.5082620193145
pre-PA,-7617187.5,1,1,0.0,0.0
pre-PA,-7578125.0,0,0,0.0,0.0
pre-PA,-7578125.0,1,0,-20.17393647502647,-16.410856703512536
pre-PA,-7578125.0,0,1,-13.007883211943192,114.07506423503652
pre-PA,-7578125.0,1,1,0.0,0.0
pre-PA,-7539062.5,0,0,0.0,0.0
pre-PA,-7539062.5,1,0,-20.17249716557542,-16.510948043251776
pre-PA,-7539062.5,0,1,-13.003995940271071,113.64182420444284
pre-PA,-7539062.5,1,1,0.0,0.0
pre-PA,-7500000.0,0,0,0.0,0.0
pre-PA,-7500000.0,1,0,-20.171045615089717,-16.610974625679663
pre-PA,-7500000.0,0,1,-13.000138949430804,113.20854227983133
pre-PA,-7500000.0,1,1,0.0,0.0
pre-PA,-7460937.5,0,0,0.0,0.0
pre-PA,-7460937.5,1,0,-20.169581797146975,-16.710937390606055
pre-PA,-7460937.5,0,1,-12.99631223611221,112.77521881300264
pre-PA,-7460937.5,1,1,0.0,0.0
pre-PA,-7421875.0,0,0,0.0,0.0
pre-PA,-7421875.0,1,0,-20.168105685962555,-16.810837278970315
pre-PA,-7421875.0,0,1,-12.992515797019381,112.34185415526439
pre-PA,-7421875.0,1,1,0.0,0.0
pre-PA,-7382812.5,0,0,0.0,0.0
pre-PA,-7382812.5,1,0,-20.166617256391696,-16.910675232810497
pre-PA,-7382812.5,0,1,-12.988749628870874,111.90844865743537
pre-PA,-7382812.5,1,1,0.0,0.0
pre-PA,-7343750.0,0,0,0.0,0.0
pre-PA,-7343750.0,1,0,-20.165116483931698,-17.010452195232407
pre-PA,-7343750.0,0,1,-12.985013728399913,111.47500266984979
pre-PA,-7343750.0,1,1,0.0,0.0
pre-PA,-7304687.5,0,0,0.0,0.0
pre-PA,-7304687.5,1,0,-20.163603344723974,-17.110169110378482
pre-PA,-7304687.5,0,1,-12.981308092354576,111.04151654236131
pre-PA,-7304687.5,1,1,0.0,0.0
pre-PA,-7265625.0,0,0,0.0,0.0
pre-PA,-7265625.0,1,0,-20.162077815556145,-17.209826923396594
pre-PA,-7265625.0,0,1,-12.97763271749802,110.60799062434734
pre-PA,-7265625.0,1,1,0.0,0.0
pre-PA,-7226562.5,0,0,0.0,0.0
pre-PA,-7226562.5,1,0,-20.160539873863982,-17.309426580408637
pre-PA,-7226562.5,0,1,-12.973987600608648,110.17442526471314
pre-PA,-7226562.5,1,1,0.0,0.0
